Charges Fut ,Fut,Opt (P),Asg / ex. (P),GST/18%,B/S
NSE_TurnOver,0.0025,0.0605,0.0605,YES,BOTH
BSE_TurnOver,0.0025,0.0595,0.0595,YES,BOTH
NSE_StampDuty,0.002,0.003,0.003,NO,BUY
BSE_StampDuty,0.002,0.003,0.003,NO,BUY
NSE_Clearing,0.00045,0.003,0.003,YES,BOTH
BSE_Clearing,0.00045,0.003,0.003,YES,BOTH
NSE_SEBIFEES,0.00015,0.00015,0.00015,YES,BOTH
BSE_SEBIFEES,0.00015,0.00015,0.00015,YES,BOTH
NSE_STT,0.05,0.15,0.15 (EXE),NO,SELL
BSE_STT,0.05,0.15,0.15 (EXE),NO,SELL
IPFT,5e-06,5e-06,5e-06,YES,BOTH
