Account Id,Exchange,Trading Symbol,Product Type,Net Qty,Last Traded Price,Buy Qty,Sell Qty,Buy Value,Sell Value,Mark To Market,Total Turnover,Net Value,Buy Avg Price,Sell Avg Price,BEP,Instrument Name,Entity Type,Client Type,Option Type,Strike Price,Option flag,RMS Square Off,Realized MTM,Unrealized MTM,Total Consideration,MTM (Base Currency),Realized MTM (Base Currency),Unrealised MTM (Base Currency),Buy Value (Base Currency),Sell Value (Base Currency),Net Value (Base Currency),Branch Id,Expiry,Actual Buy Avg Price,Actual Sell Avg Price,Actual Buy Value,Actual Sell Value,Actual Mark To Market,Actual Realized MTM,Actual Unrealized MTM,Lot Size,Net Lot,Buy Lot,Sell Lot,Security Id,Giveup Buy Qty,Giveup Sell Qty,Giveup Net Qty,
PR05,NSEFO,NIFTY 17FEB2026 CE 26000,NRML,-2925,46.45,7085,10010,665704.00,1237840.50,436270.25,1903544.50,572136.50,93.96,123.66,195.60,OPTIDX,,Non_Institutionals,CE,26000.00,OTM,Included,210429.86,225840.39,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,93.96,123.66,665704.00,1237840.50,436270.25,210429.86,225840.39,65,-45,109,154,48236,0,0,0,
PR12,BSEFO,SENSEX 12FEB2026 PE 83500,NRML,-1600,0.05,480,2080,8040.00,52097.00,43977.00,60137.00,44057.00,16.75,25.05,27.54,IO,,Non_Institutionals,PE,83500.00,OTM,Included,3982.38,39994.62,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,16.75,25.05,8040.00,52097.00,43977.00,3982.38,39994.62,20,-80,24,104,828414,0,0,0,
PR12,BSEFO,SENSEX 12FEB2026 CE 83700,NRML,-1600,0.05,480,2080,4680.00,33120.00,28360.00,37800.00,28440.00,9.75,15.92,17.78,IO,,Non_Institutionals,CE,83700.00,ATM,Included,2963.08,25396.92,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,12Feb2026,9.75,15.92,4680.00,33120.00,28360.00,2963.08,25396.92,20,-80,24,104,827331,0,0,0,
PR36,NSEFO,NIFTY 17FEB2026 CE 26000,NRML,-1300,46.45,0,1300,0.00,68900.00,8515.00,68900.00,68900.00,0.00,53.00,53.00,OPTIDX,,Non_Institutionals,CE,26000.00,OTM,Included,0.00,8515.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,0.00,53.00,0.00,68900.00,8515.00,0.00,8515.00,65,-20,0,20,48236,0,0,0,
PR36,NSEFO,NIFTY 24FEB2026 CE 26000,NRML,-1300,117.05,0,1300,0.00,224770.00,72605.00,224770.00,224770.00,0.00,172.90,172.90,OPTIDX,,Non_Institutionals,CE,26000.00,OTM,Included,0.00,72605.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,24Feb2026,0.00,172.90,0.00,224770.00,72605.00,0.00,72605.00,65,-20,0,20,64872,0,0,0,
PR36,NSEFO,NIFTY 17FEB2026 CE 25900,NRML,-1300,79.25,0,1300,0.00,117344.50,14319.50,117344.50,117344.50,0.00,90.27,90.27,OPTIDX,,Non_Institutionals,CE,25900.00,OTM,Included,0.00,14319.50,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,0.00,90.27,0.00,117344.50,14319.50,0.00,14319.50,65,-20,0,20,48232,0,0,0,
PR36,NSEFO,NIFTY 24FEB2026 CE 26250,NRML,-1300,50.00,0,1300,0.00,109070.00,44070.00,109070.00,109070.00,0.00,83.90,83.90,OPTIDX,,Non_Institutionals,CE,26250.00,OTM,Included,0.00,44070.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,24Feb2026,0.00,83.90,0.00,109070.00,44070.00,0.00,44070.00,65,-20,0,20,64882,0,0,0,
PR20,NSEFO,NIFTY 17FEB2026 PE 25850,NRML,-1300,115.75,3185,4485,350961.00,465959.00,-35477.00,816920.00,114998.00,110.19,103.89,88.46,OPTIDX,,Non_Institutionals,PE,25850.00,ITM,Included,-20062.58,-15414.42,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,110.19,103.89,350961.00,465959.00,-35477.00,-20062.58,-15414.42,65,-20,49,69,48231,0,0,0,
PR33,NSEFO,NIFTY 17FEB2026 CE 25800,NRML,-1040,128.25,0,1040,0.00,132203.50,-1176.50,132203.50,132203.50,0.00,127.12,127.12,OPTIDX,,Non_Institutionals,CE,25800.00,ATM,Included,0.00,-1176.50,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,17Feb2026,0.00,127.12,0.00,132203.50,-1176.50,0.00,-1176.50,65,-16,0,16,48228,0,0,0,
PR33,NSEFO,NIFTY 24FEB2026 PE 25800,NRML,-1040,150.35,0,1040,0.00,156026.00,-338.00,156026.00,156026.00,0.00,150.03,150.03,OPTIDX,,Non_Institutionals,PE,25800.00,ATM,Included,0.00,-338.00,,0.00,0.00,0.00,0.00,0.00,0.00,PRANAT,24Feb2026,0.00,150.03,0.00,156026.00,-338.00,0.00,-338.00,65,-16,0,16,64865,0,0,0,
